key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD10_131_55,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_730_81,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_2_294,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_565_166,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_385_69,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1457_65,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_158_39,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_753_434,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_877_254,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_417_498,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_293_78,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_521_64,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_151_120,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1269_51,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1506_213,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_757_77,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_93_121,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1427_213,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_530_175,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_853_667,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_526_389,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_481_452,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_964_88,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_52_48,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_211_142,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_498_146,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1006_505,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_468_447,D_RandomBG,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD7_101_489,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_677_789,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1296_64,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
