SLD,Symbol_ID,Scale,Classification,Stage3_Rank,Stage4_Rank,Stage5_Rank,ChamferScore,CoverageAreaScore,CombinedScore,Cand_X,Cand_Y,Cand_Scale,Cand_Rotation
SLD7,SLD7_GT_68,2.2,LOCALIZED_BUT_POORLY_RANKED,5329,1631,-1,6.402895927429199,0.0,0.0,1298.0,180.0,0.4,180.0
SLD7,SLD7_GT_69,2.2,LOCALIZED_BUT_POORLY_RANKED,6309,1667,-1,6.361750602722168,0.0,0.0,1341.0,180.0,0.4,180.0
SLD7,SLD7_GT_70,2.2,LOCALIZED_BUT_POORLY_RANKED,6311,1627,-1,6.3565993309021,0.0,0.0,1368.0,180.0,0.4,180.0
SLD7,SLD7_GT_71,2.2,LOCALIZED_BUT_POORLY_RANKED,6312,1627,-1,6.3565993309021,0.0,0.0,1368.0,180.0,0.4,180.0
SLD7,SLD7_GT_72,2.2,LOCALIZED_BUT_POORLY_RANKED,11710,15672,-1,5.2759690284729,0.0,0.0,216.0,398.0,0.289,180.0
SLD7,SLD7_GT_73,2.2,LOCALIZED_BUT_POORLY_RANKED,11749,15677,-1,5.279689788818359,0.0,0.0,316.0,398.0,0.289,180.0
SLD7,SLD7_GT_74,2.2,LOCALIZED_BUT_POORLY_RANKED,11750,13813,-1,7.336969375610352,0.0,0.0,983.0,395.0,0.372,180.0
SLD7,SLD7_GT_75,2.2,LOCALIZED_BUT_POORLY_RANKED,11751,9579,-1,7.299046516418457,0.0,0.0,1122.0,395.0,0.372,180.0
SLD7,SLD7_GT_76,2.2,LOCALIZED_BUT_POORLY_RANKED,11717,15680,-1,5.279689788818359,0.0,0.0,1215.0,398.0,0.289,180.0
SLD7,SLD7_GT_77,2.2,LOCALIZED_BUT_POORLY_RANKED,11718,16062,-1,5.281507968902588,0.0,0.0,1315.0,398.0,0.289,180.0
SLD7,SLD7_GT_78,2.2,LOCALIZED_BUT_POORLY_RANKED,11719,16063,-1,5.281507968902588,0.0,0.0,1415.0,398.0,0.289,180.0
SLD7,SLD7_GT_79,2.2,LOCALIZED_BUT_POORLY_RANKED,11720,15675,-1,5.2759690284729,0.0,0.0,1514.0,398.0,0.289,180.0
SLD7,SLD7_GT_80,2.2,LOCALIZED_BUT_POORLY_RANKED,11721,9328,-1,6.958634853363037,0.0,0.0,1601.0,395.0,0.372,180.0
SLD7,SLD7_GT_81,2.2,LOCALIZED_AND_HIGHLY_RANKED,7460,655,653,4.383257865905762,1194.632587859425,478.24296632431435,43.0,502.0,0.372,180.0
SLD7,SLD7_GT_82,2.2,LOCALIZED_BUT_POORLY_RANKED,11722,9266,-1,7.644617557525635,0.0,0.0,110.0,781.0,0.372,0.0
SLD7,SLD7_GT_83,2.2,LOCALIZED_BUT_POORLY_RANKED,11723,9265,-1,7.633062362670898,0.0,0.0,210.0,781.0,0.372,0.0
SLD7,SLD7_GT_84,2.2,LOCALIZED_BUT_POORLY_RANKED,11752,9347,-1,7.660251140594482,0.0,0.0,310.0,781.0,0.372,0.0
SLD7,SLD7_GT_85,2.2,LOCALIZED_BUT_POORLY_RANKED,11724,9264,-1,7.633037090301514,0.0,0.0,410.0,781.0,0.372,0.0
SLD7,SLD7_GT_86,2.2,LOCALIZED_BUT_POORLY_RANKED,11725,9547,-1,7.538911819458008,0.0,0.0,498.0,781.0,0.372,0.0
SLD7,SLD7_GT_87,2.2,LOCALIZED_BUT_POORLY_RANKED,11727,9267,-1,7.644617557525635,0.0,0.0,709.0,781.0,0.372,0.0
SLD7,SLD7_GT_88,2.2,LOCALIZED_BUT_POORLY_RANKED,11728,9268,-1,7.644617557525635,0.0,0.0,809.0,781.0,0.372,0.0
SLD7,SLD7_GT_89,2.2,LOCALIZED_BUT_POORLY_RANKED,11729,9269,-1,7.644617557525635,0.0,0.0,909.0,781.0,0.372,0.0
SLD7,SLD7_GT_90,2.2,LOCALIZED_BUT_POORLY_RANKED,11575,9263,-1,7.629213333129883,0.0,0.0,1009.0,781.0,0.372,0.0
SLD7,SLD7_GT_91,2.2,LOCALIZED_BUT_POORLY_RANKED,11753,9348,-1,7.66151762008667,0.0,0.0,1109.0,781.0,0.372,0.0
SLD7,SLD7_GT_92,2.2,LOCALIZED_BUT_POORLY_RANKED,11731,10827,-1,7.521259307861328,0.0,0.0,1322.0,781.0,0.372,0.0
SLD7,SLD7_GT_93,2.2,LOCALIZED_BUT_POORLY_RANKED,11732,10352,-1,7.479104995727539,0.0,0.0,1397.0,781.0,0.372,0.0
SLD7,SLD7_GT_94,2.2,LOCALIZED_BUT_POORLY_RANKED,11733,9270,-1,7.644617557525635,0.0,0.0,1508.0,781.0,0.372,0.0
SLD7,SLD7_GT_95,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7542,2984,-1,6.846875190734863,0.0,0.0,3.0,0.0,0.4,90.0
SLD7,SLD7_GT_96,3.466666666666667,LOCALIZED_AND_HIGHLY_RANKED,7563,832,831,4.039380073547363,1140.0,456.43542513884495,18.0,47.0,0.372,270.0
SLD7,SLD7_GT_97,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7604,2995,-1,6.846875190734863,0.0,0.0,3.0,117.0,0.4,90.0
SLD7,SLD7_GT_98,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7680,6112,-1,6.633116722106934,0.0,0.0,5.0,432.0,0.372,90.0
SLD7,SLD7_GT_99,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7734,3240,-1,7.082840442657471,0.0,0.0,17.0,562.0,0.4,270.0
SLD7,SLD7_GT_100,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7764,3006,-1,6.846875190734863,0.0,0.0,3.0,584.0,0.4,90.0
SLD7,SLD7_GT_101,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7794,3006,-1,6.846875190734863,0.0,0.0,3.0,584.0,0.4,90.0
SLD7,SLD7_GT_102,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,7824,3034,-1,6.846875190734863,0.0,0.0,3.0,612.0,0.4,90.0
SLD7,SLD7_GT_103,2.2,LOCALIZED_BUT_POORLY_RANKED,11709,9595,-1,7.33997106552124,0.0,0.0,132.0,399.0,0.4,90.0
SLD7,SLD7_GT_104,2.2,LOCALIZED_BUT_POORLY_RANKED,9699,10374,-1,3.778813600540161,0.0,0.0,416.0,387.0,0.289,0.0
SLD7,SLD7_GT_105,2.2,LOCALIZED_BUT_POORLY_RANKED,11714,8110,-1,6.021584510803223,0.0,0.0,730.0,399.0,0.4,90.0
SLD7,SLD7_GT_106,2.2,LOCALIZED_BUT_POORLY_RANKED,11715,15673,-1,5.2759690284729,0.0,0.0,815.0,398.0,0.289,180.0
SLD7,SLD7_GT_107,2.2,LOCALIZED_AND_HIGHLY_RANKED,9087,233,233,2.137241840362549,1363.6012861736335,545.7317521401466,610.0,404.0,0.372,0.0
SLD7,SLD7_GT_108,2.2,LOCALIZED_BUT_POORLY_RANKED,11726,9272,-1,7.651167869567871,0.0,0.0,609.0,781.0,0.372,0.0
