sld_name,ground_truth_x,ground_truth_y,best_candidate_x,best_candidate_y,association_distance,stage3_rank,stage4_rank,stage5_rank,template_id,template_scale,template_rotation,chamfer_score,coverage_score,verification_score,combined_score
SLD10,393,499,391.0,511.0,12.165525060596439,9023,11036,-1,T_0.372_180,0.372,180,7.450202465057373,0,0,7.450202465057373
SLD10,1280,499,1295.0,495.0,17.18284027743958,9025,2909,-1,T_0.400_000,0.4,0,4.9892473220825195,0,0,4.9892473220825195
SLD10,1407,499,1384.0,496.0,21.0535032714273,9011,10232,-1,T_0.400_000,0.4,0,7.42317008972168,0,0,7.42317008972168
SLD10,141,499,138.0,511.0,12.36931687685298,9004,11109,-1,T_0.372_180,0.372,180,7.445060729980469,0,0,7.445060729980469
SLD11,353,8,335.0,15.0,19.1049731745428,3203,1105,-1,T_0.400_090,0.4,90,7.767485618591309,0,0,7.767485618591309
SLD11,353,119,349.0,96.0,17.0,3169,1433,-1,T_0.400_270,0.4,270,7.917545318603516,0,0,7.917545318603516
SLD11,353,229,343.0,241.0,14.916433890176299,3170,3042,-1,T_0.289_090,0.289,90,5.375494003295898,0,0,5.375494003295898
SLD11,353,339,343.0,351.0,14.916433890176299,3171,3043,-1,T_0.289_090,0.289,90,5.375494003295898,0,0,5.375494003295898
SLD11,353,449,335.0,456.0,19.1049731745428,3204,1106,-1,T_0.400_090,0.4,90,7.767485618591309,0,0,7.767485618591309
SLD11,353,560,335.0,537.0,22.02271554554524,3172,1381,-1,T_0.400_090,0.4,90,7.802848815917969,0,0,7.802848815917969
SLD11,341,147,335.0,136.0,5.385164807134504,3169,1101,-1,T_0.400_090,0.4,90,7.726739406585693,0,0,7.726739406585693
SLD11,341,257,335.0,246.0,5.385164807134504,3170,1102,-1,T_0.400_090,0.4,90,7.726739406585693,0,0,7.726739406585693
SLD11,341,367,335.0,356.0,5.385164807134504,3171,1103,-1,T_0.400_090,0.4,90,7.726739406585693,0,0,7.726739406585693
SLD11,341,588,335.0,577.0,5.385164807134504,3172,1104,-1,T_0.400_090,0.4,90,7.726739406585693,0,0,7.726739406585693
SLD11,341,36,335.0,15.0,15.132745950421556,3203,1105,-1,T_0.400_090,0.4,90,7.767485618591309,0,0,7.767485618591309
SLD11,341,477,335.0,456.0,15.132745950421556,3204,1106,-1,T_0.400_090,0.4,90,7.767485618591309,0,0,7.767485618591309
SLD11,341,646,349.0,625.0,19.209372712298546,3373,2027,-1,T_0.400_270,0.4,270,7.987876892089844,0,0,7.987876892089844
SLD11,351,87,349.0,96.0,11.01135777277262,3252,1433,-1,T_0.400_270,0.4,270,7.917545318603516,0,0,7.917545318603516
SLD11,351,528,335.0,537.0,18.200274723201296,3349,1381,-1,T_0.400_090,0.4,90,7.802848815917969,0,0,7.802848815917969
