candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,group,sld_rank,group,sld_rank,fp_class
,SLD1,T_0.372_270,0.372,270,754,202,0.872058093547821,0.3903225806451613,0.832258064516129,0.9193548387096774,0.9548387096774194,0.3096,1897.5483870967741,0.04280820695807315,38,60,2280,310,8,3,5,1.0,10,3,7,47.5,79.0,0.6012658227848101,571.2619735002518,492.45079135894775,1.1600386952853092,0.6333333333333333,0.6440677966101694,0.010734463276836137,2280,2242,1.0169491525423728,0.12456140350877193,0.13596491228070176,0.011403508771929832,0.12456140350877193,0.13826940231935772,0.013707998810585792,6,3,3,2,5,0.3903225806451613,0.87205803,0.0033153701652408885,0.3903225806451613,0.5899275800216781,1897.5483870967741,0.3096,759.3733113867227,A_TrueMR,9,A_TrueMR,9,
,SLD1,T_0.261_180,0.261,180,632,109,1.6849851608276367,0.29743589743589743,0.6512820512820513,0.7435897435897436,0.8256410256410256,0.1699846153846154,738.5538461538462,0.02994308943089431,42,27,1134,195,5,2,3,1.0,5,7,2,2.0,493.5,0.004052684903748734,212.97056245803833,280.2670257091522,0.7598844777374882,1.5555555555555556,1.5185185185185186,0.03703703703703698,1134,1107,1.024390243902439,0.09788359788359788,0.17195767195767195,0.07407407407407407,0.09788359788359788,0.17615176151761516,0.07826816363401728,5,-3,8,5,13,0.29743589743589743,1.6849852,0.03008441046426108,0.29743589743589743,0.6013549142817436,738.5538461538462,0.1699846153846154,295.78235141010754,A_TrueMR,972,A_TrueMR,972,
,SLD2,T_0.372_090,0.372,90,886,1,4.938311576843262,0.4155844155844156,0.487012987012987,0.512987012987013,0.5487012987012987,0.18116883116883117,1110.3896103896104,0.02488849241748439,38,60,2280,308,4,7,3,1.0,6,7,1,100.5,78.0,1.2884615384615385,316.5269113779068,473.33809328079224,0.6687121021340187,0.45,0.6440677966101694,0.19406779661016943,1620,2242,0.7225691347011597,0.07105263157894737,0.13508771929824562,0.06403508771929825,0.1,0.13737734165923282,0.037377341659232816,2,7,5,2,7,0.4155844155844156,4.9383116,0.08588471002420422,0.4155844155844156,0.6255792794775847,1110.3896103896104,0.18116883116883117,444.53119172353075,A_TrueMR,419,A_TrueMR,419,
,SLD2,T_0.344_180,0.344,180,858,153,4.174142360687256,0.42911877394636017,0.5325670498084292,0.5708812260536399,0.5977011494252874,0.18320306513409962,1025.1915708812262,0.0252994708994709,55,35,1925,261,3,7,4,1.0,3,7,4,3.0,52.0,0.057692307692307696,344.3675310611725,430.50966584682465,0.7999066185512742,1.5714285714285714,1.542857142857143,0.02857142857142847,1925,1890,1.0185185185185186,0.08675324675324675,0.13558441558441559,0.048831168831168836,0.08675324675324675,0.1380952380952381,0.051341991341991355,3,7,4,0,4,0.42911877394636017,4.1741424,0.0631190826131654,0.42911877394636017,0.6429867144349902,1025.1915708812262,0.18320306513409962,410.4624203811515,A_TrueMR,854,A_TrueMR,854,
,SLD2,T_0.400_180,0.4,180,467,151,6.5580644607543945,0.38064516129032255,0.4161290322580645,0.43548387096774194,0.45806451612903226,0.16645161290322583,1091.9225806451614,0.019976771196283393,64,41,2624,310,2,7,5,1.0,2,7,5,0.5,61.5,0.008130081300813009,253.41421353816986,521.5218585729599,0.48591292842755834,12.8,1.5365853658536586,11.263414634146342,320,2583,0.12388695315524584,0.04916158536585366,0.11814024390243902,0.06897865853658536,0.403125,0.1200154858691444,0.2831095141308556,2,7,5,0,5,0.38064516129032255,6.5580645,0.09317543309883003,0.38064516129032255,0.34377591385360856,1091.9225806451614,0.16645161290322583,436.9752978063767,A_TrueMR,445,A_TrueMR,445,
,SLD2,T_0.372_090,0.372,90,886,339,3.7660727500915527,0.4253246753246753,0.5357142857142857,0.5681818181818182,0.6006493506493507,0.1992857142857143,1221.4285714285713,0.027377341659232828,38,60,2280,308,4,7,3,1.0,4,7,3,2.0,78.0,0.02564102564102564,302.1421353816986,473.33809328079224,0.6383220359204488,0.6333333333333333,0.6440677966101694,0.010734463276836137,2280,2242,1.0169491525423728,0.06798245614035088,0.13508771929824562,0.06710526315789474,0.06798245614035088,0.13737734165923282,0.06939488551888194,4,7,3,0,3,0.4253246753246753,3.7660728,0.06254323778260415,0.4253246753246753,0.6781504802066801,1221.4285714285713,0.1992857142857143,488.9783188595526,A_TrueMR,240,A_TrueMR,240,
,SLD2,T_0.344_000,0.344,0,909,141,4.028437614440918,0.3938356164383562,0.5547945205479452,0.5856164383561644,0.6095890410958904,0.19084931506849315,1067.9794520547946,0.028949610389610386,55,35,1925,292,2,4,2,1.0,2,5,3,5.5,82.5,0.06666666666666667,353.4385986328125,447.9238796234131,0.7890595137056814,1.5714285714285714,1.5714285714285714,0.0,1925,1925,1.0,0.08935064935064935,0.15168831168831168,0.06233766233766233,0.08935064935064935,0.15168831168831168,0.06233766233766233,2,3,1,1,2,0.3938356164383562,4.028438,0.057000198847355715,0.3938356164383562,0.7032156199964419,1067.9794520547946,0.19084931506849315,427.6137101939157,A_TrueMR,748,A_TrueMR,748,
,SLD2,T_0.344_270,0.344,270,900,299,2.236360788345337,0.43859649122807015,0.5894736842105263,0.6631578947368421,0.7333333333333333,0.20277894736842103,1134.7368421052631,0.030021818181818177,35,55,1925,285,10,5,5,1.0,14,6,8,78.0,79.5,0.9811320754716981,509.96550989151,445.37972354888916,1.1450128574062293,0.5818181818181818,0.6363636363636364,0.054545454545454564,1760,1925,0.9142857142857143,0.13454545454545455,0.14805194805194805,0.013506493506493494,0.1471590909090909,0.14805194805194805,0.0008928571428571397,6,4,2,3,5,0.43859649122807015,2.2363608,0.019903199351457013,0.43859649122807015,0.58778998632946,1134.7368421052631,0.20277894736842103,454.24741083390296,A_TrueMR,376,A_TrueMR,376,
,SLD2,T_0.372_090,0.372,90,886,107,4.252396106719971,0.4318181818181818,0.551948051948052,0.5746753246753247,0.6006493506493507,0.20532467532467533,1258.4415584415585,0.028206958073148974,38,60,2280,308,2,7,5,1.0,2,7,5,6.5,78.0,0.08333333333333333,377.63960909843445,473.33809328079224,0.7978221369865792,0.6333333333333333,0.6440677966101694,0.010734463276836137,2280,2242,1.0169491525423728,0.0824561403508772,0.13508771929824562,0.05263157894736842,0.0824561403508772,0.13737734165923282,0.05492120130835562,2,7,5,0,5,0.4318181818181818,4.252396,0.05654433433540679,0.4318181818181818,0.6058880058389425,1258.4415584415585,0.20532467532467533,503.7401561801268,A_TrueMR,182,A_TrueMR,182,
,SLD2,T_0.400_090,0.4,90,896,215,2.674612522125244,0.19375,0.490625,0.596875,0.696875,0.19625,1287.3999999999999,0.024312814556716997,41,64,2624,320,11,5,6,1.0,17,7,10,190.5,535.5,0.3557422969187675,728.5756816864014,533.7228692770004,1.3650823744415437,0.34375,0.6507936507936508,0.3070436507936508,1408,2583,0.5451025938830817,0.140625,0.12195121951219512,0.01867378048780488,0.26207386363636365,0.12388695315524584,0.1381869104811178,5,3,2,4,6,0.19375,2.6746125,0.029231785911147556,0.19375,0.4053441316474853,1287.3999999999999,0.19625,515.2032064789884,A_TrueMR,145,A_TrueMR,145,
