candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,w_actual,h_actual,x1,y1,x2,y2
SLD7_02960,SLD7,T_0.372_090,0.372,90,1319,84,2.5203869342803955,0.224025974025974,0.5064935064935064,0.672077922077922,0.788961038961039,0.1884155844155844,1154.8051948051948,0.0258840321141837,38,60,2280,308,15,7,8,1.0,19,7,12,126.0,78.0,1.6153846153846154,502.2152909040451,473.3380932807922,1.0610075504870098,0.6785714285714286,0.6440677966101694,0.0345036319612591,2128,2242,0.9491525423728814,0.118859649122807,0.1350877192982456,0.0162280701754386,0.1273496240601503,0.1373773416592328,0.0100277175990824,11,7,4,4,8,0.224025974025974,2.520387,0.0215849692773744,0.224025974025974,0.4750559082606361,1154.8051948051948,0.1884155844155844,462.2071114670344,14.136,22.32,1311.932,72.84,1326.068,95.16
SLD7_02966,SLD7,T_0.372_270,0.372,270,1064,493,2.083150863647461,0.2193548387096774,0.5064516129032258,0.6645161290322581,0.7677419354838709,0.1884,1154.7096774193549,0.0260499553969669,38,60,2280,310,15,3,12,1.0,24,3,21,237.5,79.0,3.0063291139240507,654.457931637764,492.45079135894775,1.3289813786911535,0.6333333333333333,0.6440677966101694,0.0107344632768361,2280,2242,1.0169491525423728,0.1513157894736842,0.1359649122807017,0.0153508771929824,0.1513157894736842,0.1382694023193577,0.0130463871543264,6,3,3,9,12,0.2193548387096774,2.0831509,0.028383141718397,0.2193548387096774,0.4579801060880742,1154.7096774193549,0.1884,462.1586590313949,14.136,22.32,1056.932,481.84,1071.068,504.16
SLD7_02976,SLD7,T_0.400_000,0.4,0,1471,504,2.9038126468658447,0.2228739002932551,0.4398826979472141,0.5659824046920822,0.6539589442815249,0.1759530791788856,1154.2521994134895,0.0228658536585365,64,41,2624,341,14,6,8,1.0,21,8,13,930.0,555.0,1.6756756756756757,881.7300097942352,575.6223644018173,1.5317855321874487,1.5609756097560976,1.5609756097560976,0.0,2624,2624,1.0,0.1722560975609756,0.1299542682926829,0.0423018292682926,0.1722560975609756,0.1299542682926829,0.0423018292682926,7,4,3,5,8,0.2228739002932551,2.9038126,0.0271417419122195,0.2228739002932551,0.4699414383806595,1154.2521994134895,0.1759530791788856,461.9828446284244,25.6,16.400000000000002,1458.2,495.8,1483.8,512.2
SLD7_02983,SLD7,T_0.400_000,0.4,0,315,89,2.859842538833618,0.187683284457478,0.4398826979472141,0.5395894428152492,0.6334310850439883,0.1759530791788856,1154.2521994134895,0.0228658536585365,64,41,2624,341,17,6,11,1.0,25,8,17,436.0,555.0,0.7855855855855856,817.671134352684,575.6223644018173,1.4204992455468648,1.5609756097560976,1.5609756097560976,0.0,2624,2624,1.0,0.1612042682926829,0.1299542682926829,0.03125,0.1612042682926829,0.1299542682926829,0.03125,9,4,5,6,11,0.187683284457478,2.8598423,0.0270602837445123,0.187683284457478,0.4438049853372434,1154.2521994134895,0.1759530791788856,461.9671627565983,25.6,16.400000000000002,302.2,80.8,327.8,97.2
SLD7_03012,SLD7,T_0.372_000,0.372,0,1687,505,2.210095167160034,0.2154340836012861,0.5048231511254019,0.6141479099678456,0.752411575562701,0.1877942122186495,1150.9967845659162,0.0260499553969669,60,38,2280,311,10,7,3,1.0,14,7,7,112.5,80.5,1.3975155279503106,596.4335463047028,474.7523069381714,1.2563046826487108,1.5526315789473684,1.5526315789473684,0.0,2242,2242,1.0,0.1407894736842105,0.1364035087719298,0.0043859649122806,0.1431757359500446,0.1387154326494201,0.0044603033006244,6,7,1,4,5,0.2154340836012861,2.2100952,0.0029512023599879,0.2154340836012861,0.5628609714378048,1150.9967845659162,0.1877942122186495,460.7364304092292,22.32,14.136,1675.84,497.932,1698.16,512.068
SLD7_03015,SLD7,T_0.372_000,0.372,0,1482,74,2.5573320388793945,0.2411575562700964,0.5048231511254019,0.6688102893890675,0.7427652733118971,0.1877942122186495,1150.9967845659162,0.0260499553969669,60,38,2280,311,12,7,5,1.0,15,7,8,74.5,80.5,0.9254658385093169,553.8061295747757,474.7523069381714,1.1665159315316391,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1280701754385965,0.1364035087719298,0.0083333333333333,0.1280701754385965,0.1387154326494201,0.0106452572108236,9,7,2,3,5,0.2411575562700964,2.5573323,0.0080092048551708,0.2411575562700964,0.5332883908774607,1150.9967845659162,0.1877942122186495,460.71868686089294,22.32,14.136,1470.84,66.932,1493.16,81.068
SLD7_03024,SLD7,T_0.372_000,0.372,0,275,95,2.535287857055664,0.2057877813504823,0.5048231511254019,0.6430868167202572,0.7138263665594855,0.1877942122186495,1150.9967845659162,0.0260499553969669,60,38,2280,311,21,7,14,1.0,30,7,23,194.0,80.5,2.409937888198758,790.357426404953,474.7523069381714,1.664778485232056,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1824561403508772,0.1364035087719298,0.0460526315789473,0.1824561403508772,0.1387154326494201,0.043740707701457,12,7,5,9,14,0.2057877813504823,2.5352879,0.0156451991931053,0.2057877813504823,0.4385145086543269,1150.9967845659162,0.1877942122186495,460.6618225315591,22.32,14.136,263.84,87.932,286.16,102.068
SLD7_03025,SLD7,T_0.372_180,0.372,180,706,85,3.075127124786377,0.2492012779552715,0.5047923322683706,0.6038338658146964,0.6677316293929713,0.1877827476038338,1150.926517571885,0.0262158786797502,60,38,2280,313,10,2,8,1.0,12,2,10,197.5,83.0,2.3795180722891565,540.2325348854065,492.45079159736633,1.0970284627486335,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.125438596491228,0.1372807017543859,0.0118421052631579,0.125438596491228,0.139607493309545,0.0141688968183169,8,2,6,2,8,0.2492012779552715,3.0751271,0.0221691353484229,0.2492012779552715,0.4842950250755496,1150.926517571885,0.1877827476038338,460.6611840437993,22.32,14.136,694.84,77.932,717.16,92.068
SLD7_03028,SLD7,T_0.372_180,0.372,180,936,504,1.87430477142334,0.194888178913738,0.5047923322683706,0.7124600638977636,0.8146964856230032,0.1877827476038338,1150.926517571885,0.0262158786797502,60,38,2280,313,11,2,9,1.0,16,2,14,224.5,83.0,2.7048192771084336,654.9188275337219,492.45079159736633,1.3299173007913274,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.15,0.1372807017543859,0.012719298245614,0.15,0.139607493309545,0.0103925066904549,6,2,4,5,9,0.194888178913738,1.8743047,0.0233840357647985,0.194888178913738,0.4585809347921707,1150.926517571885,0.1877827476038338,460.6457555896293,22.32,14.136,924.84,496.932,947.16,511.068
SLD7_03033,SLD7,T_0.372_180,0.372,180,977,531,2.469386339187622,0.2619808306709265,0.5047923322683706,0.6325878594249201,0.7124600638977636,0.1877827476038338,1150.926517571885,0.0262158786797502,60,38,2280,313,16,2,14,1.0,24,2,22,136.0,83.0,1.6385542168674698,555.7300097942352,492.45079159736633,1.1284985612300664,1.9655172413793105,1.5526315789473684,0.4128856624319419,1653,2242,0.7372881355932204,0.1267543859649123,0.1372807017543859,0.0105263157894736,0.1748336358136721,0.139607493309545,0.035226142504127,8,2,6,8,14,0.2619808306709265,2.4693863,0.0082913198386858,0.2619808306709265,0.3868666250561694,1150.926517571885,0.1877827476038338,460.60272700378766,22.32,14.136,965.84,523.932,988.16,538.068
SLD7_03047,SLD7,T_0.317_180,0.317,180,1568,87,1.4051618576049805,0.4666666666666667,0.6823529411764706,0.7607843137254902,0.8156862745098039,0.2163058823529411,1148.4,0.03447375,51,33,1683,255,9,5,4,1.0,12,5,7,192.0,66.5,2.887218045112782,459.5634890794754,393.0954530239105,1.1690887939411547,1.5454545454545454,1.5625,0.0170454545454545,1683,1600,1.051875,0.1461675579322638,0.1515151515151515,0.0053475935828876,0.1461675579322638,0.159375,0.0132074420677361,6,5,1,3,4,0.4666666666666667,1.4051619,0.0105427938374121,0.4666666666666667,0.6428799019607844,1148.4,0.2163058823529411,459.7457279411765,16.167,10.461,1559.9165,81.7695,1576.0835,92.2305
SLD7_03050,SLD7,T_0.344_270,0.344,270,355,80,1.781362771987915,0.2350877192982456,0.5964912280701754,0.7333333333333333,0.8035087719298246,0.2051929824561403,1148.2456140350876,0.0303792207792207,35,55,1925,285,11,5,6,1.0,20,6,14,300.0,79.5,3.7735849056603774,615.7300095558167,445.3797235488892,1.3824832541758678,0.6363636363636364,0.6363636363636364,0.0,1925,1925,1.0,0.1651948051948052,0.148051948051948,0.0171428571428571,0.1651948051948052,0.148051948051948,0.0171428571428571,2,4,2,8,10,0.2350877192982456,1.7813629,0.0131063452736537,0.2350877192982456,0.5036691729323308,1148.2456140350876,0.2051929824561403,459.6004471177945,12.04,18.919999999999998,348.98,70.54,361.02,89.46
SLD7_03052,SLD7,T_0.344_270,0.344,270,1681,485,2.0895254611968994,0.256140350877193,0.5964912280701754,0.6947368421052632,0.7964912280701755,0.2051929824561403,1148.2456140350876,0.0303792207792207,35,55,1925,285,12,5,7,1.0,16,6,10,218.0,79.5,2.742138364779874,455.1614679098129,445.3797235488892,1.0219627069750292,0.6363636363636364,0.6363636363636364,0.0,1925,1925,1.0,0.1283116883116883,0.148051948051948,0.0197402597402597,0.1283116883116883,0.148051948051948,0.0197402597402597,8,4,4,3,7,0.256140350877193,2.0895255,0.0073310065756626,0.256140350877193,0.4989460013670539,1148.2456140350876,0.2051929824561403,459.5976132148553,12.04,18.919999999999998,1674.98,475.54,1687.02,494.46
SLD7_03091,SLD7,T_0.344_090,0.344,90,1731,267,1.5308551788330078,0.2857142857142857,0.5945945945945946,0.7297297297297297,0.8455598455598455,0.2045405405405405,1144.5945945945946,0.0280296296296296,35,55,1925,259,14,5,9,1.0,20,5,15,113.5,47.5,2.389473684210526,622.9188269376755,440.7523070573807,1.4133081482806145,0.4727272727272727,0.6481481481481481,0.1754208754208754,1430,1890,0.7566137566137566,0.1657142857142857,0.1345454545454545,0.0311688311688311,0.2230769230769231,0.137037037037037,0.086039886039886,8,5,3,6,9,0.2857142857142857,1.5308552,0.0246974545636771,0.2857142857142857,0.4371883671883672,1144.5945945945946,0.2045405405405405,458.10015085815087,12.04,18.919999999999998,1724.98,257.54,1737.02,276.46
SLD7_03104,SLD7,T_0.372_000,0.372,0,1343,96,1.7607967853546145,0.2186495176848874,0.5016077170418006,0.7266881028938906,0.8360128617363344,0.1865980707395498,1143.6655948553057,0.0258840321141837,60,38,2280,311,23,7,16,1.0,33,7,26,408.5,80.5,5.074534161490683,858.2813061475754,474.7523069381714,1.8078507331178744,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1969298245614035,0.1364035087719298,0.0605263157894736,0.1969298245614035,0.1387154326494201,0.0582143919119833,13,7,6,10,16,0.2186495176848874,1.7607968,0.0233846410427327,0.2186495176848874,0.436583555870438,1143.6655948553057,0.1865980707395498,457.7281880756445,22.32,14.136,1331.84,88.932,1354.16,103.068
